epoch,time_completed,mse,mae,r_2
1,2019-07-25 19:52:16,872946403.1914495,16207.51937902307,-0.43026673647092206
2,2019-07-25 19:52:16,874125438.8729122,16245.174366506433,-0.43219851087327155
3,2019-07-25 19:52:17,873907648.4117733,16241.069515387198,-0.43184167516039307
4,2019-07-25 19:52:17,873153038.9861728,16218.086285077728,-0.43060529597775576
5,2019-07-25 19:52:17,871123192.5618908,16154.638395251024,-0.42727952269983094
6,2019-07-25 19:52:17,869079822.1189961,16093.861028626661,-0.4239315911841326
7,2019-07-25 19:52:17,866084967.610902,16000.786841533858,-0.4190247140060639
8,2019-07-25 19:52:18,862892233.2044498,15904.286941248758,-0.4137936232962107
9,2019-07-25 19:52:18,859703403.6013483,15804.07090163232,-0.4085689303563971
10,2019-07-25 19:52:18,858115292.6641906,15764.380151492292,-0.40596691236429816
11,2019-07-25 19:52:18,857646789.9616604,15740.043649423083,-0.4051993007114796
12,2019-07-25 19:52:18,857907806.2100757,15763.001810182644,-0.40562695910656776
13,2019-07-25 19:52:18,855882992.6437308,15732.210738179741,-0.40230943184382806
14,2019-07-25 19:52:19,856348844.125721,15748.216798187763,-0.40307269964170245
15,2019-07-25 19:52:19,855031620.013196,15683.910966787409,-0.400914512351241
16,2019-07-25 19:52:19,856144558.361912,15715.399153778919,-0.40273799050991355
17,2019-07-25 19:52:19,855915661.3208663,15721.50908362656,-0.40236295737765326
18,2019-07-25 19:52:20,860126923.1995473,15837.159756380526,-0.4092628400756342
19,2019-07-25 19:52:20,860479494.1340227,15873.864549084159,-0.4098405049562994
20,2019-07-25 19:52:20,857572819.4008337,15808.992746845057,-0.40507810468817085
