,Municipio,Localidad,Coordenadas,Unnamed: 3,Muestra,FECHA DE MUESTREO ,pH,Conductividad (μs/cm),As (μg/L),Flúor (mg/L),Na+ (mg/L),K+    (mg/L),Fe+ (mg/L),Ca+ (mg/L),Mg+ (mg/L),NO3- (mg/L),Cl- (mg/L), CO3-2 (mg/L),HCO3- (mg/L),Alcalinidad total                (mg CaCO3/L),SO4,Tipo de Agua
0,,,Longitud,Latitud,,,,,,,,,,,,,,,,,,
1,Durango,El Nayar,-104.69545,23.96292,60.0,2017-08-08,8.14,337.0,61.5,3.1500000000000004,40.922,1.4075,0.007,15.0015,0.2675,3.25,4.140000000000001,0.0,97.0,97.0,70.61500000000001,BICARBONATADA SODICA
2,Durango,Sebastián Lerdo de Tejada,-104.64026,23.95718,61.0,2017-08-08,8.11,406.0,38.5,2.6,45.885,0.61,,20.153,0.0645,2.1,2.04,0.0,122.0,122.0,79.445,BICARBONATADA SODICA
3,Durango,Felipe Ángeles,-104.55661,23.93505,62.0,2017-08-08,8.375,384.1,26.5,1.4,38.536,6.3665,,21.809,1.189,1.35,2.325,0.0,140.0,140.0,53.730000000000004,BICARBONATADA SODICA
4,Durango,Villa Montemorelos,-104.48167,23.99177,63.0,2017-08-08,8.5,557.5,23.5,1.2,31.6805,6.734999999999999,,32.833,6.5825,4.4,4.68,0.0,206.5,206.5,60.245000000000005,BICARBONATADA CALCICA Y/O MAGNESICA
5,Durango,Belisario Domínguez,-104.50855,24.02664,64.0,2017-08-08,8.33,326.1,97.5,5.95,45.6745,1.6524999999999999,0.0795,8.519,0.21,0.52,5.390000000000001,0.0,83.0,83.0,59.879999999999995,BICARBONATADA SODICA
6,Durango,5 de Febrero,-104.50459,24.07706,65.0,2017-08-08,8.405000000000001,998.0,188.5,10.0,145.92849999999999,6.499499999999999,,7.954000000000001,0.161,0.88,11.45,0.0,214.8,214.8,187.05,CLORURADAS Y/O SULFATADAS SODICAS
7,Durango,5 de Mayo,-104.57493,24.10197,66.0,2017-08-08,8.54,820.95,30.0,4.5,58.8205,7.3145,,32.698499999999996,9.215,6.05,11.649999999999999,0.0,220.5,220.5,87.005,BICARBONATADA SODICA
8,Durango,Col. Hidalgo Exterior,-104.58433,24.15652,67.0,2017-08-08,8.595,687.75,40.5,5.1,84.6565,8.088999999999999,,17.439999999999998,6.2995,1.95,6.29,0.0,245.0,245.0,12.285,BICARBONATADA SODICA
9,Durango,Col. Hidalgo Interior,-104.58926,24.15807,68.0,2017-08-08,8.655000000000001,685.3,48.0,5.15,84.56649999999999,8.280999999999999,,17.618000000000002,6.1335,2.0,6.195,0.0,244.0,244.0,21.34,BICARBONATADA SODICA
10,Durango,Labor de Guadalupe,-104.59568,24.16183,69.0,2017-08-08,8.645,768.0,101.0,8.35,119.581,8.596499999999999,,6.9945,1.641,4.5,13.3,0.0,221.0,221.0,28.630000000000003,BICARBONATADA SODICA
11,Durango,Abraham González,-104.52459,24.21119,70.0,2017-08-08,8.71,1205.5,63.0,7.050000000000001,250.025,7.2705,,2.4115,2.0605,1.25,8.094999999999999,0.0,429.0,429.0,54.364999999999995,BICARBONATADA SODICA
12,Santa Clara,Santa Clara (Pozo),-103.35529,24.47955,71.0,2017-08-16,8.530000000000001,1650.0,42.0,1.5,136.462,8.6875,,65.262,12.088000000000001,9.6,26.5,0.0,183.0,183.0,282.76,CLORURADAS Y/O SULFATADAS SODICAS
13,Santa Clara,Santa Clara (Agua de clínica),-103.35738,24.47428,72.0,2017-08-16,8.43,1333.0,33.0,0.99,81.463,7.811999999999999,,65.7005,12.617,17.0,28.0,0.0,199.0,199.0,130.78,SULFATADA Y/O CLORURADAS CALCICAS Y/O MAGNESICAS
14,Santa Clara,10 de Abril,-103.48305,24.55596,73.0,2017-08-16,8.14,3011.0,27.0,1.0,195.79000000000002,4.0424999999999995,0.1055,429.05,36.686499999999995,11.0,80.5,0.0,123.0,123.0,170.59,SULFATADA Y/O CLORURADAS CALCICAS Y/O MAGNESICAS
15,Cuencamé ,12 de Diciembre,-103.57072,24.70457,74.0,2017-08-16,8.555,816.25,33.0,0.97,113.5035,1.121,,16.9655,2.4865,5.4,19.700000000000003,0.0,249.0,249.0,52.275000000000006,BICARBONATADA SODICA
16,Cuencamé ,Pedriceña (Pozo),-103.78703,25.11555,75.0,2017-08-16,8.18,1970.0,78.0,1.4,142.1125,4.936,,86.33699999999999,32.5655,33.0,87.5,0.0,275.0,275.0,130.99,SULFATADA Y/O CLORURADAS CALCICAS Y/O MAGNESICAS
17,Cuencamé ,Pedriceña (Pozo),-103.793,25.11337,76.0,2017-08-16,8.21,1894.5,53.5,1.3,133.3365,4.7204999999999995,,86.811,33.202,34.5,78.6,0.0,270.0,270.0,149.735,SULFATADA Y/O CLORURADAS CALCICAS Y/O MAGNESICAS
18,Cuencamé ,Velardeña,-103.72892,25.06214,77.0,2017-08-16,8.415,1515.0,79.5,1.3,156.213,2.9835000000000003,0.6075,40.896,20.375999999999998,12.5,49.849999999999994,0.0,291.0,291.0,115.52,BICARBONATADA SODICA
19,Cuencamé ,Vista Hermosa,-103.72007,25.03685,78.0,2017-08-16,8.265,2090.0,73.5,1.1,164.4745,6.3055,,60.629000000000005,55.504,31.0,116.0,0.0,274.0,274.0,165.90499999999997,SULFATADA Y/O CLORURADAS CALCICAS Y/O MAGNESICAS
20,Cuencamé ,Cuencamé (Casa cerca de Pozo),-103.70484,24.86844,79.0,2017-08-16,8.46,896.45,38.5,1.0,100.00200000000001,4.7335,,22.204,4.27,1.3,16.75,0.0,268.0,268.0,53.985,BICARBONATADA SODICA
21,Cuencamé ,Cuencamé (Casa almacenada del día),-103.69326,24.86009,80.0,2017-08-16,8.43,1441.5,47.5,1.0,112.22,5.8075,,58.236000000000004,19.2365,6.550000000000001,48.8,0.0,260.0,260.0,125.83000000000001,BICARBONATADA SODICA
22,Peñón Blanco,Yerbanis,-103.87991,24.67853,81.0,2017-08-17,8.559999999999999,819.8499999999999,286.5,1.6,48.43,16.432000000000002,,27.4595,8.9055,4.85,18.2,0.0,258.0,258.0,58.265,BICARBONATADA SODICA
23,Peñón Blanco,Peñón Blanco,-104.02771,24.79014,82.0,2017-08-17,8.295,608.5,100.0,1.6,38.995000000000005,11.0735,,29.7935,3.5385,4.6,11.25,0.0,178.0,178.0,76.58000000000001,BICARBONATADA CALCICA Y/O MAGNESICA
24,Peñón Blanco,J. Agustín Castro,-103.924,24.6054,83.0,2017-08-17,8.325,1108.0,91.5,2.3,38.5145,19.8245,,47.701,23.634999999999998,22.0,31.95,0.0,180.0,180.0,53.205,BICARBONATADA CALCICA Y/O MAGNESICA
25,Peñón Blanco,Luis Moya,-103.96483,24.55175,84.0,2017-08-17,8.14,786.0,296.5,3.3,45.9765,14.2195,,39.420500000000004,8.393,3.95,7.91,0.0,224.0,224.0,131.72,BICARBONATADA CALCICA Y/O MAGNESICA
26,Guadalupe Victoria,Guadalupe Victoria,-104.12242,24.45096,85.0,2017-08-17,8.225000000000001,577.9,64.5,1.4,17.059,3.2035,,36.532,5.327999999999999,11.0,17.4,0.0,150.0,150.0,73.215,BICARBONATADA CALCICA Y/O MAGNESICA
27,Guadalupe Victoria,Guadalupe Victoria (Pozo),-104.12242,24.45096,86.0,2017-08-17,8.254999999999999,591.85,33.0,1.4,16.698,3.2634999999999996,,39.189499999999995,5.0945,11.0,18.6,0.0,162.0,162.0,52.825,BICARBONATADA CALCICA Y/O MAGNESICA
28,Guadalupe Victoria,Guadalupe Victoria (Pozo),-104.12976,24.4495,87.0,2017-08-17,8.39,534.7,37.0,1.6,28.822,3.5220000000000002,,30.2125,3.435,5.4,11.6,0.0,170.0,170.0,70.25999999999999,BICARBONATADA CALCICA Y/O MAGNESICA
29,Panuco de Coronado,Fco. I. Madero,-104.32398,24.40669,88.0,2017-08-17,8.44,473.6,57.5,2.8,37.5745,3.7685,,24.297,1.62,3.2,3.82,0.0,162.0,162.0,43.0,BICARBONATADA SODICA
30,Santiago Papasquiaro,Valle del Tagarete,-105.42931,25.05961,89.0,2017-10-20,8.155,1085.5,29.362000000000002,4.5,254.428,2.814,,26.052999999999997,0.273,10.932450000000001,8.235,13.200000000000003,490.05000000000007,503.25,48.885225,BICARBONATADA SODICA
31,Santiago Papasquiaro,Valle Dorado,-105.4329,25.04394,90.0,2017-10-20,8.6,702.6,31.915999999999997,2.52,150.155,1.7565,,5.086,0.07050000000000001,13.189175,7.1899999999999995,13.200000000000003,277.20000000000005,290.4,42.808525,BICARBONATADA SODICA
32,Santiago Papasquiaro,La Huerta,-105.41999,25.03786,91.0,2017-10-20,8.765,492.85,36.5685,1.705,107.9325,2.0854999999999997,,7.8345,0.3315,8.117625,6.55,11.55,194.70000000000005,206.25,25.19525,BICARBONATADA SODICA
33,Santiago Papasquiaro,Las turbinas,-105.4142,25.03155,92.0,2017-10-20,8.565,437.15,19.5765,0.604,96.30699999999999,1.9055,,7.745,0.065,8.37575,5.460000000000001,11.55,185.75,193.05,14.34715,BICARBONATADA SODICA
34,Santiago Papasquiaro,10 de Abril,-105.41007,25.03226,93.0,2017-10-20,8.32,419.79999999999995,19.686999999999998,0.753,30.817500000000003,2.3425000000000002,,39.128,2.0685,9.455275,4.555,8.25,183.15000000000003,191.40000000000003,15.081075,BICARBONATADA CALCICA Y/O MAGNESICA
35,Santiago Papasquiaro,Colinas,-105.44324,25.04651,94.0,2017-10-20,8.33,784.8499999999999,11.275500000000001,6.705,172.716,2.5795,,18.151,0.118,1.64995,5.305,11.55,293.70000000000005,305.25,74.59915,BICARBONATADA SODICA
36,Nuevo Ideal,Pozo 1,-105.05277,24.90352,95.0,2017-10-20,8.43,316.75,50.7735,2.295,60.956,2.8979999999999997,,5.832,0.2255,3.2752,3.0300000000000002,13.200000000000003,140.25,153.45,7.56855,BICARBONATADA SODICA
37,Nuevo Ideal,Pozo 3,-105.05871,24.89836,96.0,2017-10-20,8.030000000000001,281.75,44.188,0.705,53.212,4.661,,17.438,1.5405,6.67525,5.195,0.0,127.05000000000001,127.05000000000001,7.280875,BICARBONATADA SODICA
38,Nuevo Ideal,Miguel Negrete,-104.98292,25.00911,97.0,2017-10-20,7.875,518.3,12.5305,0.4185,33.959,7.721500000000001,,52.96387774004322,3.4124999999999996,48.078475,16.55,0.0,191.40000000000003,191.40000000000003,17.8009,BICARBONATADA CALCICA Y/O MAGNESICA
39,Canatlán,Cantlán,-104.77705,24.53372,98.0,2017-10-20,8.07,263.8,10.572500000000002,0.3905,25.27,8.219000000000001,,15.9225,2.7465,7.083025,5.625,0.0,95.70000000000002,95.70000000000002,8.77185,BICARBONATADA SODICA
40,Canatlán,Guadalupe Aguilera,-104.69968,24.44247,99.0,2017-10-20,8.055,331.9,5.555,0.218,28.826,5.634,,34.772,4.6240000000000006,2.994775,5.85,0.0,151.8,151.79999999999998,9.943775,BICARBONATADA CALCICA Y/O MAGNESICA
41,Canatlán,Nicolás Bravo,-104.742,24.391,100.0,2017-10-20,8.23,306.15,52.685500000000005,4.165,52.1935,4.227,,11.553,0.6025,5.89965,5.42,0.0,105.6,105.60000000000001,20.1711,BICARBONATADA SODICA
42,Durango,Juan B. Ceballos,-104.6663,24.2067,101.0,2017-10-20,7.925000000000001,373.0,4.183,0.4745,10.8135,5.2425,,33.147499999999994,10.6785,31.910024999999997,10.55,0.0,140.25,140.25,8.231225,BICARBONATADA CALCICA Y/O MAGNESICA
43,Vicente Guerrero,Vicente Guerrero,-103.99476,23.73862,102.0,2017-10-21,8.08,669.2,8.205,0.479,38.108999999999995,6.8665,,54.72625295873212,3.4725,47.317400000000006,22.25,0.0,222.75000000000006,222.75000000000003,50.589549999999996,BICARBONATADA CALCICA Y/O MAGNESICA
44,Vicente Guerrero,Estación de bomberos,-103.98071,23.72654,103.0,2017-10-21,8.09,426.3,10.748,0.67,36.177499999999995,6.8575,,51.6215,1.2765,7.52825,4.6850000000000005,0.0,184.8,184.80000000000004,23.00425,BICARBONATADA CALCICA Y/O MAGNESICA
45,Vicente Guerrero,San Isidro,-104.05889,23.68294,104.0,2017-10-21,8.165,357.95000000000005,21.413,1.55,35.762,3.6925,,42.586,0.975,1.3887,2.435,0.0,163.35,163.35000000000002,12.178325000000001,BICARBONATADA CALCICA Y/O MAGNESICA
46,Vicente Guerrero,La Joya,-103.9959,23.83754,105.0,2017-10-21,8.21,451.35,17.543,1.03,41.6045,6.3629999999999995,,49.521,3.287,6.102874999999999,6.715,0.0,191.40000000000003,191.40000000000003,29.6959,BICARBONATADA CALCICA Y/O MAGNESICA
47,Vicente Guerrero,La Joya en el entronque,-103.98821,23.75016,106.0,2017-10-21,8.25,465.65,12.483,0.655,35.5435,5.697,0.1175,52.6641453123392,1.8014999999999999,22.74455,9.125,4.95,184.8,189.75,29.188425000000002,BICARBONATADA CALCICA Y/O MAGNESICA
48,Nombre de Dios,La Parrilla,-104.08432,23.77492,107.0,2017-10-21,8.23,442.79999999999995,24.3645,2.77,66.305,8.793,0.71,40.278,3.208,3.3143,13.05,0.0,214.5,214.5,30.84385,BICARBONATADA SODICA
